产线,SKU编码,SKU名称,标准产能盒每小时,近四周实绩盒每小时,一次合格率百分比,最小批量盒,同过敏原换型分钟,跨过敏原清洗分钟,每班所需熟练工,白班可用熟练工,夜班可用熟练工,单班基础小时,单班加班上限小时,计划维护窗口,近四周停机率百分比,限制说明
L1,MC01,流心奶黄,980,905,97.2,1800,35,150,7,8,5,8,2,2026-08-26 02:00至05:00,6.8,夜班需从L2借调两名熟练工
L1,DL03,双黄莲蓉,920,872,98.1,1600,30,120,6,8,5,8,2,2026-08-26 02:00至05:00,6.8,蛋黄投料工位与MC01共用
L1,TJ04,茶香桃山,760,688,95.6,1200,45,140,7,8,5,8,2,2026-08-26 02:00至05:00,6.8,新品包馅参数仍在优化
L2,MC01,流心奶黄,840,806,97.8,1500,40,160,6,7,7,8,2,2026-09-02 01:00至04:00,4.2,可连续生产两个班次
L2,WF02,低糖五仁,780,742,98.6,1400,30,180,6,7,7,8,2,2026-09-02 01:00至04:00,4.2,坚果过敏原切换后需完整清洗
L2,DL03,双黄莲蓉,820,789,98.3,1500,35,150,6,7,7,8,2,2026-09-02 01:00至04:00,4.2,可与MC01相邻排产
L2,TJ04,茶香桃山,700,651,96.4,1000,45,170,6,7,7,8,2,2026-09-02 01:00至04:00,4.2,夜班首批需工艺员复核
L3,WF02,低糖五仁,690,632,97.9,1200,25,190,5,6,4,8,1.5,2026-09-09 00:00至04:00,8.7,七月发生两次封口温度漂移
L3,DL03,双黄莲蓉,720,674,97.5,1200,35,170,5,6,4,8,1.5,2026-09-09 00:00至04:00,8.7,模具只有一套
L3,TJ04,茶香桃山,610,552,94.8,900,50,180,6,6,4,8,1.5,2026-09-09 00:00至04:00,8.7,夜班熟练工缺口两人
包装A,MC01,流心奶黄,1320,1210,98.4,1800,25,70,5,6,5,8,2,2026-08-29 03:00至04:00,3.5,八盒装与单盒需换装箱导轨
包装A,DL03,双黄莲蓉,1280,1195,98.8,1600,25,70,5,6,5,8,2,2026-08-29 03:00至04:00,3.5,企业团购标签需独立批次
包装B,WF02,低糖五仁,1100,985,97.6,1400,30,80,5,5,4,8,2,2026-09-05 02:00至04:00,5.9,六盒装彩盒人工装配
包装B,TJ04,茶香桃山,1020,910,96.9,1000,35,75,5,5,4,8,2,2026-09-05 02:00至04:00,5.9,新品贴标复核增加一道工序
